1,Hicks et. al.,2016,Merluccius productus,NE Pacific Ocean,48.00,-129.00,Pacific Hake Fishery,"Allowable Catch Adjustment, Climate Change, Ecosystem Based Management, Environmental Conditions, Fishing Behavior, Habitat Change, Implementation Uncertainty, Landing Regulations, Management Timeline, Migration, Monitoring Methodology, Multiple Sectors in Fishery, Predation, Spatial Structure, Species Interactions, Stock Status, Uncertainty",0,0,0,0,0,0,0,0,0,0,,,Unknown,,,"Fishery, Management, Scientists",,"Analysts, Fishery, Managers",,"Analysts, Fishery, Management",,Simulation modeling,"Hicks, A. C., Cox, S. P., Taylor, N., Taylor, I. G., Grandin, C., & Ianelli, J. N. (2016). Conservation and yield performance of harvest control rules for the transboundary Pacific hake fishery in US and Canadian waters. Management Science in Fisheries: An Introduction to Simulation-based Methods, 69.",,,0
2,Cox and Kronlund,2016,,,51.00,-130.00,British Columbia Sablefish,,0,0,0,0,0,0,0,0,0,0,,,,,,"Fishery, Government",,Fishery,,"Fishery, Government",,,"Cox, S. P., & Kronlund, A. R. (2016). Model-based management procedures for the sablefish fishery in British Columbia, Canada. Management Science in Fisheries: An Introduction to Simulation-based Methods, 86.",,"While the request to evaluate management was started by the fishery and government, it seems that the MSE was lead by the researchers, and the researchers made most of the decisions about what direction to take the MSE.",0
3,Breen et. al.,2016,,,-40.00,173.00,New Zealand rock lobster,,0,0,0,0,0,0,0,0,0,0,,,,,,"Fishery, Government",,"Analysts, Fishery",,"Analysts, Fishery",,,"Breen, P., Bentley, N., Haist, V., Starr, P., & Sykes, D. (2016). Management procedures for New Zealand rock lobster stocks. Management Science in Fisheries: An Introduction to Simulation-based Methods, 105.",,"There was a good deal of iteration occuring in this project that makes clear identification of the process, objectives, and management tools difficult.  Stakeholder interaction occurred, but it is not documented how it occurred, and in particular what effect that interaction had on the set of objectives and management tools considered.  It seems as if a number of decisions were made by the researchers in terms of moving from vague objectives to performance measures, and what set of performance measures were considered.  Stakeholders did explicitly identify some management tools to evaluate.  A large set of objectives was developed, but only a limited set of those objectives are presented in the results.  It is unclear how the final set was selected, although there is some discussion of a pareto-optimal set of management procedures.",0
4,Szuwalski and Punt,2016,,,57.00,-161.00,Eastern Bering Sea snow crab,,0,0,0,0,0,0,0,0,0,0,,,,,,Scientists,,"Analysts, Government",,Analysts,,,"Szuwalski, C.S., Punt, A.E., (2016). Fisheries management for regime-based recruitment: lessons from a management strategy evaluation for the fishery for snow crab in the eastern Bering Sea. Management Science in Fisheries: An Introduction to Simulation-based Methods, 105.",,"Results are not provided for all of the objectives listed in the text.  The authors state that they followed best practices for MSE such as: ""incorporating managers and stakeholders in the selection of objectives and performance metrics"", but it is not clear how that occurred.  This article and Punt et al. 2014 will be useful to return to for our climate work.",0
5,Hillary et. al.,2016,,,-50.00,77.00,Southern bluefin tuna,,0,0,0,0,0,0,0,0,0,0,,,,,,"Government, Scientists",,Government,,Government,,,"Hillary, R. M., Preece, A. L., Davies, C. R., Kurota, H., Sakai, O., Itoh, T., ... & Branch, T. A. (2016). Managing international tuna stocks via the management procedure approach. Management Science in Fisheries: An Introduction to Simulation-based Methods, 147.",,A management commision representing nations participating in the fishery was created.  This commision lead this MSE and was the source of the objs and procedures. The list of objectives does not match the set of performance criteria displayed in the results figure.,0
6,Jones et al,2016,,,42.00,-81.00,Lake Erie Walleye,,1,0,0,0,0,0,0,0,0,0,,,,,,"Fishery, Management",,"Fishery, Managers",,"Fishery, Management",,,"Jones, M. L., Catalano, M. J., Peterson, L. K., & Berger, A. M. (2016). Stakeholder-centered development of a harvest control rule for Lake Erie walleye. Management Science in Fisheries: an Introduction to Simulation-based Methods, 163-183.",,An explicit decision making process was followed for which a decision making body was established that included managers and stakeholders from the impacted regions and stakeholder groups.  Nice results section with a variety of figures and tables.,0
7,Dichmont et al,2016,,,-11.00,135.00,Australian Northern Prawn Fishery,,0,0,0,0,0,0,0,0,0,0,,,,,,Management,,Management,,,,,"Dichmont, C. M., Punt, A. E., Deng, R. A., Pascoe, S., & Buckworth, R. C. (2016). Northern prawn fishery: beyond biologically centred harvest strategies. Management Science in Fisheries: An Introduction to Simulation-based Methods, 184.",,"This MSE report is a summary of multiple iterations of an MSE approach to prawn management in Australia.  It includes accounting for economic impacts, with and bioeconomics model, and impacts to other species.  Objiectives were not explicitly weighted, but based on iterative feedback some trade-offs between objectives were apparently evaluated.",0
11,Williams et. al.,2011,coral trout (Plectropomus spp.),"Torres Strait, Australia",-10.00,142.00,Torres Strait Finfish Fishery,Multiple Sectors in Fishery,0,0,1,1,0,0,0,0,0,0,"What management strategy from a set of area closures, seasonal closures, and minimum size limits (an effort proxy) will best achieve the harvest, conservation, and economic objectives of the indigenous and non-indigenous finfish fisheries in Torres Strait Australia?",Objectives were elicited in consultation with stakeholders.  While stakeholders are mentioned an explicit listing of the stakeholders involved in the objective stage and the methodology used to conduct the elicitation are not provided.,Unknown,Unknown,,Unknown,"Facilitators, Fishery, Government, Management, Scientists","Fishery, Government, Management",,"Fishery, Government, Management",,Simulation modeling,"Williams, A. J., Little, L. R., and Begg, G. A. 2011. Balancing indigenous and non-indigenous commercial objectives in a coral reef finfish fishery. ICES Journal of Marine Science, 68: 834-847.",10.1093/icesjms/fsr034,"This MSE has an example of the downfall of setting target levels for objectives rather than using a max vs. min. approach because no strategies achieve the target.  The description of this MSE indicates that stakeholders were involved in the process, but the roles of the stakeholders, and a description of the process are not provided.  It is unclear who lead this MSE.  While the objectives are defined as target probabilities, the results are not presented this way.  They are presented in terms of the probability inputs.  No trade-off analysis occurred, so no optimal alternative is provided.  No decision or reporting of subsequent use of the analysis is documented.",1
12,Punt et. al.,2012,"red king crab, Paralithodes camtschaticus","Bristol Bay, Alaska",58.00,-161.00,"Bristol Bay, Alaska Red King Crab",Uncertainty,0,0,0,0,0,0,0,0,0,0,"How large a buffer should be set on harvest levels for Red King crab in Bristol Bay, Alaska to account for uncertainty in the assessment of the available harvest?",They weren't.  The set of performance metrics were seemingly selected by the scientists conducting the evaluation.,,Unknown,,Scientists,Scientists,,Scientists,,Scientists,Simulation modeling,"Punt, A. E., Siddeek, M. S. M., Garber-Yonts, B., Dalton, M., Rugolo, L., Stram, D., Turnock, B. J., and Zheng, J. 2012. Evaluating the impact of buffers to account for scientific uncertainty when setting TACs: application to red king crab in Bristol Bay, Alaska. - ICES Journal of Marine Science, 69: 624-634",10.1093/icesjms/fss047,"This article is not presented explicitly as a management strategy evaluation, but is discussed as being a management strategy evaluation minus a full operating model.  Seemingly no interaction with any stakeholders or decision makers occurred, and this was mainly a simulation study and not a decision making exercise.",1
13,Little et. al.,2009,common coral trout (Plectropomus leopardus) and red throat emperor (Lethrinus miniatus),"Great Barrier Reef, Australia",-18.00,148.00,Great Barrier Reef Coral Reef Finfish Fishery,Migration,0,0,0,0,0,0,0,0,0,0,What is the effect of effort controls and area closures on the finfish fihery of the great barrier reef?,It is unclear if there was any elicitation as there is not process documentation.,,Unknown,,Scientists,Scientists,,Scientists,,Scientists,Simulation modeling,"Little, L. R., Punt, A. E., Mapstone, B. D., Begg, G. A., Goldman, B., and Ellis, N. 2009. Different responses to area closures and effort controls for sedentary and migratory harvested species in a multispecies coral reef linefishery. - ICES Journal of Marine Science, 66: 1931-1941.",10.1093/icesjms/fsp164,"Seemingly no interaction with any stakeholders or decision makers occurred, and this was mainly a simulation study and not a decision making exercise.",1
14,Klaer et. al.,2012,"tiger flathead (Neoplatycephalus richardsoni),
jackass morwong (Nemadactylus macropterus), and
school whiting (Sillago flindersi).",South eastern Australia,-40.00,147.00,Southern and Eastern Scalefish and Shark Fishery,Stock Status,0,0,0,0,0,0,0,0,0,0,Can harvest control rules updated based on changes to catch length achieve the management objectives of the Southern and Eastern Scalefish and Shark Fishery?,"While it is noted that management objectives for the fishery are defined by a government agency, it is unclear if the objectives used here are those objectives, or how those objectives were elicted.",,Unknown,,Scientists,Scientists,,Scientists,,Scientists,Simulation modeling,"Neil L. Klaer, Sally E. Wayte, Gavin Fay,
An evaluation of the performance of a harvest strategy that uses an average-length-based assessment method. 2012. Fisheries Research, Volumes 134-136, Pages 42-51.",10.1016/j.fishres.2012.08.010,"Seemingly no interaction with any stakeholders or decision makers occurred, and this was mainly a simulation study and not a decision making exercise.",1
15,Curtis et. al.,2015,Western Pacific Leatherback Turtles (Dermochelys coriacea),U.S. West Coast EEZ,40.00,-126.00,California drift gillnet fishery,Monitoring Methodology,0,0,0,0,0,0,0,0,0,0,What limit reference points in the California drift gillnet fishery will best achieve threshold management objectives for Western Pacific Leatherback Turtles?,Objectives weren't elicted.  They were selected by the scientists based on IUCN and ESA criteria.,,Unknown,,Scientists,Scientists,,Scientists,,Scientists,Simulation modeling,"Curtis KA, Moore JE, Benson SR (2015) Estimating Limit Reference Points for Western Pacific Leatherback Turtles (Dermochelys coriacea) in the U.S. West Coast EEZ. PLoS ONE 10(9): e0136452. https://doi.org/10.1371/journal.pone.0136452",10.1371/journal.pone.0136452,"Seemingly no interaction with any stakeholders or decision makers occurred, and this was mainly a simulation study and not a decision making exercise.  In addition, the analysis is disconnected from the system in which the decision is actually being made.  That is, rather than conduct a trade-off analysis on the harvest rate in the fishery that results in the optimal result there and for leatherbacks, acceptable leatherback status is feed into a decision making process for the fishery.  This treatment of these linked problems has built in objective weighting of the leatherback objectives by treating them as constraints.",1
